785/5/171/P|BigMangoHead|||C,CNB
785/5/175|BigMangoHead|||CNP,CNBP
787/5/174|BigMangoHead|||
791/5/131|Spiff|https://youtu.be/wCDd0OuX8_g||
792/4/136|whoever314|https://youtu.be/M9v-bLHdTfU||
820/4/128/P|Sahishar|||
831/4/129|whoever314|||
836/4/124|Spiff|||
837/4/112|Spiff|||
838/4/104|Spiff|||
847/4/96|12345ieee|||
855/3/125|12345ieee|||
890/4/69|Yiwei|||
1620/4/51|Spiff|||
1635/3/83|Neebat|||
1798/3/81|xrdd|||
2298/2/127|12345ieee|||RCNB,RCNP,RCNBP
2508/2/167|whoever314|https://youtu.be/rDkfNhZSHRU|video|
2794/4/50|hobsen|||
4754/2/77|pieceofmind|https://www.youtube.com/watch?v=Smqopv7VoYE||
4923/2/75|pieceofmind|https://www.youtube.com/watch?v=awE9YDxLArk||
6600/3/44|Sahishar|https://www.youtube.com/watch?v=ImAXDlTBOj4||
6691/2/65|pieceofmind|https://www.youtube.com/watch?v=-TLLLuX2rog||
7444/2/41|BigMangoHead|||S,SNB,SNP,SNBP,RSNB,RSNP,RSNBP
8848/2/41|bigmangohead|https://www.youtube.com/watch?v=NZqU_xBtD8Q|video|
16246/1/127/BP|BigMangoHead|||RC,RS
